Ano;Cód.;Município;Produto Interno Bruto a preços correntes (Mil Reais);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%)
2008;1100015;Alta Floresta D'Oeste (RO);248962;26,59
2008;1100023;Ariquemes (RO);1064822;43,38
2008;1100031;Cabixi (RO);60588;17,88
2008;1100049;Cacoal (RO);928699;44,53
2008;1100056;Cerejeiras (RO);167474;37,12
2008;1100064;Colorado do Oeste (RO);157026;29,88
2008;1100072;Corumbiara (RO);95990;13,45
2008;1100080;Costa Marques (RO);90971;25,83
2008;1100098;Espigão D'Oeste (RO);265616;32,38
2008;1100106;Guajará-Mirim (RO);491320;61,18
2008;1100114;Jaru (RO);708837;34,4
2008;1100122;Ji-Paraná (RO);1496176;51,38
2008;1100130;Machadinho D'Oeste (RO);234494;22,56
2008;1100148;Nova Brasilândia D'Oeste (RO);167221;27,87
2008;1100155;Ouro Preto do Oeste (RO);400931;36,54
2008;1100189;Pimenta Bueno (RO);419978;46,59
2008;1100205;Porto Velho (RO);5267602;51,39
2008;1100254;Presidente Médici (RO);196550;28,53
2008;1100262;Rio Crespo (RO);37220;11,74
2008;1100288;Rolim de Moura (RO);590513;38,63
2008;1100296;Santa Luzia D'Oeste (RO);85683;16,99
2008;1100304;Vilhena (RO);1148345;50,84
2008;1100320;São Miguel do Guaporé (RO);192747;22,49
2008;1100338;Nova Mamoré (RO);164807;18,78
2008;1100346;Alvorada D'Oeste (RO);127593;22,2
2008;1100379;Alto Alegre dos Parecis (RO);109773;16,78
2008;1100403;Alto Paraíso (RO);132015;24,45
2008;1100452;Buritis (RO);270880;25,39
2008;1100502;Novo Horizonte do Oeste (RO);84764;20,49
2008;1100601;Cacaulândia (RO);62609;12,85
2008;1100700;Campo Novo de Rondônia (RO);90328;12,01
2008;1100809;Candeias do Jamari (RO);138875;23,81
2008;1100908;Castanheiras (RO);35845;12,1
2008;1100924;Chupinguaia (RO);120566;22,28
2008;1100940;Cujubim (RO);108397;22,41
2008;1101005;Governador Jorge Teixeira (RO);95028;10,66
2008;1101104;Itapuã do Oeste (RO);77624;22,62
2008;1101203;Ministro Andreazza (RO);86018;22,7
2008;1101302;Mirante da Serra (RO);98424;23,84
2008;1101401;Monte Negro (RO);111323;21,27
2008;1101435;Nova União (RO);58312;10,47
2008;1101450;Parecis (RO);39928;11,7
2008;1101468;Pimenteiras do Oeste (RO);37347;11,69
2008;1101476;Primavera de Rondônia (RO);31804;14,21
2008;1101484;São Felipe D'Oeste (RO);54757;12,84
2008;1101492;São Francisco do Guaporé (RO);135322;23,35
2008;1101500;Seringueiras (RO);91524;17,07
2008;1101559;Teixeirópolis (RO);41414;13,61
2008;1101609;Theobroma (RO);92540;10,48
2008;1101708;Urupá (RO);105172;18,3
2008;1101757;Vale do Anari (RO);79440;14,29
2008;1101807;Vale do Paraíso (RO);85349;13,35
2008;1200013;Acrelândia (AC);88512;12,36
2008;1200054;Assis Brasil (AC);33614;16,15
2008;1200104;Brasiléia (AC);135316;25,66
2008;1200138;Bujari (AC);58876;9,4
2008;1200179;Capixaba (AC);62790;10,11
2008;1200203;Cruzeiro do Sul (AC);598083;44,81
2008;1200252;Epitaciolândia (AC);128588;33,59
2008;1200302;Feijó (AC);145960;12,28
2008;1200328;Jordão (AC);35573;8,82
2008;1200336;Mâncio Lima (AC);67172;11,17
2008;1200344;Manoel Urbano (AC);43863;13,24
2008;1200351;Marechal Thaumaturgo (AC);69574;7,84
2008;1200385;Plácido de Castro (AC);107307;12,89
2008;1200393;Porto Walter (AC);41812;8,53
2008;1200401;Rio Branco (AC);3988385;56,26
2008;1200427;Rodrigues Alves (AC);65175;9,43
2008;1200435;Santa Rosa do Purus (AC);28788;18,57
2008;1200450;Senador Guiomard (AC);152766;19,41
2008;1200500;Sena Madureira (AC);205498;16,32
2008;1200609;Tarauacá (AC);176203;16,21
2008;1200708;Xapuri (AC);86555;14,19
2008;1200807;Porto Acre (AC);89846;9,67
2008;1300029;Alvarães (AM);48675;11,9
2008;1300060;Amaturá (AM);27894;15,23
2008;1300086;Anamã (AM);48130;13,89
2008;1300102;Anori (AM);51885;15,42
2008;1300144;Apuí (AM);102637;14,79
2008;1300201;Atalaia do Norte (AM);43654;13,87
2008;1300300;Autazes (AM);99638;14,66
2008;1300409;Barcelos (AM);72054;14,72
2008;1300508;Barreirinha (AM);85630;15,5
2008;1300607;Benjamin Constant (AM);99144;17,03
2008;1300631;Beruri (AM);43560;15,3
2008;1300680;Boa Vista do Ramos (AM);60824;8,95
2008;1300706;Boca do Acre (AM);125583;17,4
2008;1300805;Borba (AM);100248;18,04
2008;1300839;Caapiranga (AM);44360;14,65
2008;1300904;Canutama (AM);40008;17,2
2008;1301001;Carauari (AM);97770;20,58
2008;1301100;Careiro (AM);94912;13,35
2008;1301159;Careiro da Várzea (AM);103169;8,94
2008;1301209;Coari (AM);2224643;14,7
2008;1301308;Codajás (AM);85222;16,93
2008;1301407;Eirunepé (AM);104480;18,91
2008;1301506;Envira (AM);55309;15,66
2008;1301605;Fonte Boa (AM);77112;15,28
2008;1301654;Guajará (AM);46916;13,71
2008;1301704;Humaitá (AM);150044;29,04
2008;1301803;Ipixuna (AM);50770;12,58
2008;1301852;Iranduba (AM);181485;25,14
2008;1301902;Itacoatiara (AM);616318;34,38
2008;1301951;Itamarati (AM);28452;14,07
