municipio,uf,codigo_ibge,latitude,longitude,aeroporto_mais_proximo,codigo_iata,codigo_icao,codigo_principal,distancia_km
Alta Floresta D'oeste,RO,1100015.0,-11.935540304764551,-61.99982389629356,Fazenda Kajussol Airport,\N,SJYD,\N,34.22
Ariquemes,RO,1100023.0,-9.908462866567195,-63.03326927804834,Ariquemes Airport,\N,SJOG,\N,3.15
Cabixi,RO,1100031.0,-13.49976345969625,-60.54431358120085,Brigadeiro Camarão Airport,BVH,SBVH,BVH,101.75
Cacoal,RO,1100049.0,-11.43386502868515,-61.4429442118224,Cacoal Airport,OAL,SSKW,OAL,6.96
Cerejeiras,RO,1100056.0,-13.195033032039898,-60.81842616468144,Brigadeiro Camarão Airport,BVH,SBVH,BVH,95.86
Colorado Do Oeste,RO,1100064.0,-13.130563841455249,-60.55506746307892,Brigadeiro Camarão Airport,BVH,SBVH,BVH,69.3
Corumbiara,RO,1100072.0,-12.9975202364834,-60.948701170661415,Brigadeiro Camarão Airport,BVH,SBVH,BVH,98.16
Costa Marques,RO,1100080.0,-12.43601387771415,-64.23165393911722,Costa Marques Airport,CQS,SWCQ,CQS,2.73
Espigão D'oeste,RO,1100098.0,-11.528554633347248,-61.02017311328464,Pimenta Bueno Airport,PBQ,SWPM,PBQ,21.39
Guajará-Mirim,RO,1100106.0,-10.773883740670449,-65.32395181969233,Guajará-Mirim Airport,GJM,SBGM,GJM,4.5
Jaru,RO,1100114.0,-10.4359487678844,-62.47623070813165,Ji-Paraná Airport,JPR,SWJI,JPR,84.1
Ji-Paraná,RO,1100122.0,-10.882051318349,-61.94509458268412,Ji-Paraná Airport,JPR,SWJI,JPR,10.84
Machadinho D'oeste,RO,1100130.0,-9.42556248,-61.99959257244659,Ariquemes Airport,\N,SJOG,\N,125.85
Nova Brasilândia D'oeste,RO,1100148.0,-11.721325413855848,-62.30823016301895,Fazenda Kajussol Airport,\N,SJYD,\N,72.86
Ouro Preto Do Oeste,RO,1100155.0,-10.7235739008135,-62.26105519043625,Ji-Paraná Airport,JPR,SWJI,JPR,48.15
Pimenta Bueno,RO,1100189.0,-11.67753699,-61.18366567364196,Pimenta Bueno Airport,PBQ,SWPM,PBQ,4.03
Porto Velho,RO,1100205.0,-8.768891790000001,-63.83144565436112,Governador Jorge Teixeira de Oliveira Airport,PVH,SBPV,PVH,10.23
Presidente Médici,RO,1100254.0,-11.173205016226747,-61.90943868352974,Ji-Paraná Airport,JPR,SWJI,JPR,34.32
Rio Crespo,RO,1100262.0,-9.70553670973949,-62.90001036595886,Ariquemes Airport,\N,SJOG,\N,25.75
Rolim De Moura,RO,1100288.0,-11.72225891338075,-61.785780935185365,Fazenda Kajussol Airport,\N,SJYD,\N,29.04
Santa Luzia D'oeste,RO,1100296.0,-11.90842333246895,-61.77330546305451,Fazenda Kajussol Airport,\N,SJYD,\N,11.31
Vilhena,RO,1100304.0,-12.741373471802898,-60.13858386609869,Brigadeiro Camarão Airport,BVH,SBVH,BVH,6.81
São Miguel Do Guaporé,RO,1100320.0,-11.699489743805948,-62.72006348143641,Fazenda Kajussol Airport,\N,SJYD,\N,116.27
Nova Mamoré,RO,1100338.0,-10.41177129470015,-65.32914902314664,Guajará-Mirim Airport,GJM,SBGM,GJM,41.94
Alvorada D'oeste,RO,1100346.0,-11.3441300234334,-62.277274865697166,Ji-Paraná Airport,JPR,SWJI,JPR,70.56
