cod_municipio,ano,populacao,nome_municipio,sigla_uf
1100015,2003,27563.0,Alta Floresta D'Oeste,RO
1100023,2003,79680.0,Ariquemes,RO
1100031,2003,7478.0,Cabixi,RO
1100049,2003,74758.0,Cacoal,RO
1100056,2003,17794.0,Cerejeiras,RO
1100064,2003,20412.0,Colorado do Oeste,RO
1100072,2003,10022.0,Corumbiara,RO
1100080,2003,10255.0,Costa Marques,RO
1100098,2003,26468.0,Espigão D'Oeste,RO
1100106,2003,39728.0,Guajará-Mirim,RO
1100114,2003,54701.0,Jaru,RO
1100122,2003,109573.0,Ji-Paraná,RO
1100130,2003,25645.0,Machadinho D'Oeste,RO
1100148,2003,17458.0,Nova Brasilândia D'Oeste,RO
1100155,2003,40822.0,Ouro Preto do Oeste,RO
1100189,2003,31612.0,Pimenta Bueno,RO
1100205,2003,353961.0,Porto Velho,RO
1100254,2003,25926.0,Presidente Médici,RO
1100262,2003,3215.0,Rio Crespo,RO
1100288,2003,48434.0,Rolim de Moura,RO
1100296,2003,11380.0,Santa Luzia D'Oeste,RO
1100304,2003,58687.0,Vilhena,RO
1100320,2003,26927.0,São Miguel do Guaporé,RO
1100338,2003,17098.0,Nova Mamoré,RO
1100346,2003,19711.0,Alvorada D'Oeste,RO
1100379,2003,13852.0,Alto Alegre dos Parecis,RO
1100403,2003,14532.0,Alto Paraíso,RO
1100452,2003,32774.0,Buritis,RO
1100502,2003,12543.0,Novo Horizonte do Oeste,RO
1100601,2003,5411.0,Cacaulândia,RO
1100700,2003,14446.0,Campo Novo de Rondônia,RO
1100809,2003,14874.0,Candeias do Jamari,RO
1100908,2003,4162.0,Castanheiras,RO
1100924,2003,5991.0,Chupinguaia,RO
1100940,2003,7662.0,Cujubim,RO
1101005,2003,15785.0,Governador Jorge Teixeira,RO
1101104,2003,7604.0,Itapuã do Oeste,RO
1101203,2003,11292.0,Ministro Andreazza,RO
1101302,2003,13570.0,Mirante da Serra,RO
1101401,2003,14400.0,Monte Negro,RO
1101435,2003,8772.0,Nova União,RO
1101450,2003,3448.0,Parecis,RO
1101468,2003,2571.0,Pimenteiras do Oeste,RO
1101476,2003,4345.0,Primavera de Rondônia,RO
1101484,2003,7143.0,São Felipe D'Oeste,RO
1101492,2003,14370.0,São Francisco do Guaporé,RO
1101500,2003,13584.0,Seringueiras,RO
1101559,2003,5733.0,Teixeirópolis,RO
1101609,2003,12468.0,Theobroma,RO
1101708,2003,16081.0,Urupá,RO
1101757,2003,9081.0,Vale do Anari,RO
1101807,2003,10105.0,Vale do Paraíso,RO
1200013,2003,8695.0,Acrelândia,AC
1200054,2003,3667.0,Assis Brasil,AC
1200104,2003,17944.0,Brasiléia,AC
1200138,2003,6641.0,Bujari,AC
1200179,2003,6096.0,Capixaba,AC
1200203,2003,73488.0,Cruzeiro do Sul,AC
1200252,2003,12137.0,Epitaciolândia,AC
1200302,2003,29480.0,Feijó,AC
1200328,2003,4529.0,Jordão,AC
1200336,2003,12097.0,Mâncio Lima,AC
1200344,2003,6905.0,Manoel Urbano,AC
1200351,2003,8362.0,Marechal Thaumaturgo,AC
1200385,2003,16031.0,Plácido de Castro,AC
1200393,2003,5189.0,Porto Walter,AC
1200401,2003,274555.0,Rio Branco,AC
1200427,2003,8540.0,Rodrigues Alves,AC
1200435,2003,2729.0,Santa Rosa do Purus,AC
1200450,2003,21174.0,Senador Guiomard,AC
1200500,2003,31029.0,Sena Madureira,AC
1200609,2003,26834.0,Tarauacá,AC
1200708,2003,12357.0,Xapuri,AC
1200807,2003,12116.0,Porto Acre,AC
1300029,2003,13278.0,Alvarães,AM
1300060,2003,8100.0,Amaturá,AM
1300086,2003,6729.0,Anamã,AM
1300102,2003,12038.0,Anori,AM
1300144,2003,16369.0,Apuí,AM
1300201,2003,10682.0,Atalaia do Norte,AM
1300300,2003,26575.0,Autazes,AM
1300409,2003,28252.0,Barcelos,AM
1300508,2003,24508.0,Barreirinha,AM
1300607,2003,24731.0,Benjamin Constant,AM
1300631,2003,12148.0,Beruri,AM
1300680,2003,11399.0,Boa Vista do Ramos,AM
1300706,2003,27561.0,Boca do Acre,AM
1300805,2003,32131.0,Borba,AM
1300839,2003,9410.0,Caapiranga,AM
1300904,2003,10301.0,Canutama,AM
1301001,2003,24691.0,Carauari,AM
1301100,2003,26241.0,Careiro,AM
1301159,2003,16992.0,Careiro da Várzea,AM
1301209,2003,75850.0,Coari,AM
1301308,2003,18753.0,Codajás,AM
1301407,2003,27831.0,Eirunepé,AM
1301506,2003,19898.0,Envira,AM
1301605,2003,36150.0,Fonte Boa,AM
1301654,2003,13751.0,Guajará,AM
1301704,2003,30949.0,Humaitá,AM
1301803,2003,16332.0,Ipixuna,AM
1301852,2003,36439.0,Iranduba,AM
1301902,2003,76217.0,Itacoatiara,AM
1301951,2003,8197.0,Itamarati,AM
1302009,2003,7978.0,Itapiranga,AM
1302108,2003,10133.0,Japurá,AM
1302207,2003,7058.0,Juruá,AM
1302306,2003,24844.0,Jutaí,AM
1302405,2003,27694.0,Lábrea,AM
1302504,2003,78785.0,Manacapuru,AM
1302553,2003,13325.0,Manaquiri,AM
1302603,2003,1527314.0,Manaus,AM
1302702,2003,38094.0,Manicoré,AM
1302801,2003,18694.0,Maraã,AM
1302900,2003,42974.0,Maués,AM
1303007,2003,16003.0,Nhamundá,AM
1303106,2003,27045.0,Nova Olinda do Norte,AM
1303205,2003,8304.0,Novo Airão,AM
1303304,2003,18809.0,Novo Aripuanã,AM
1303403,2003,99813.0,Parintins,AM
1303502,2003,17109.0,Pauini,AM
1303536,2003,20569.0,Presidente Figueiredo,AM
1303569,2003,20990.0,Rio Preto da Eva,AM
1303601,2003,9064.0,Santa Isabel do Rio Negro,AM
1303700,2003,31601.0,Santo Antônio do Içá,AM
1303809,2003,32044.0,São Gabriel da Cachoeira,AM
1303908,2003,26036.0,São Paulo de Olivença,AM
1303957,2003,7967.0,São Sebastião do Uatumã,AM
1304005,2003,8426.0,Silves,AM
1304062,2003,40998.0,Tabatinga,AM
1304104,2003,19119.0,Tapauá,AM
1304203,2003,67688.0,Tefé,AM
1304237,2003,17200.0,Tonantins,AM
1304260,2003,11747.0,Uarini,AM
1304302,2003,20542.0,Urucará,AM
1304401,2003,10598.0,Urucurituba,AM
1400027,2003,5684.0,Amajari,RR
1400050,2003,19970.0,Alto Alegre,RR
1400100,2003,221027.0,Boa Vista,RR
1400159,2003,10949.0,Bonfim,RR
1400175,2003,9511.0,Cantá,RR
1400209,2003,15987.0,Caracaraí,RR
1400233,2003,5779.0,Caroebe,RR
1400282,2003,5410.0,Iracema,RR
1400308,2003,11445.0,Mucajaí,RR
1400407,2003,5743.0,Normandia,RR
1400456,2003,7592.0,Pacaraima,RR
1400472,2003,20944.0,Rorainópolis,RR
1400506,2003,5259.0,São João da Baliza,RR
1400605,2003,5891.0,São Luiz,RR
1400704,2003,6111.0,Uiramutã,RR
1500107,2003,125055.0,Abaetetuba,PA
1500131,2003,6446.0,Abel Figueiredo,PA
1500206,2003,56729.0,Acará,PA
1500305,2003,32431.0,Afuá,PA
1500347,2003,26779.0,Água Azul do Norte,PA
1500404,2003,40914.0,Alenquer,PA
1500503,2003,34116.0,Almeirim,PA
1500602,2003,80861.0,Altamira,PA
1500701,2003,19566.0,Anajás,PA
1500800,2003,437135.0,Ananindeua,PA
1500859,2003,8164.0,Anapu,PA
1500909,2003,33839.0,Augusto Corrêa,PA
1500958,2003,21998.0,Aurora do Pará,PA
1501006,2003,16948.0,Aveiro,PA
1501105,2003,13666.0,Bagre,PA
1501204,2003,21442.0,Baião,PA
1501253,2003,3599.0,Bannach,PA
1501303,2003,68604.0,Barcarena,PA
1501402,2003,1342202.0,Belém,PA
1501451,2003,15872.0,Belterra,PA
1501501,2003,39809.0,Benevides,PA
1501576,2003,13575.0,Bom Jesus do Tocantins,PA
1501600,2003,10209.0,Bonito,PA
1501709,2003,97935.0,Bragança,PA
1501725,2003,18941.0,Brasil Novo,PA
1501758,2003,7789.0,Brejo Grande do Araguaia,PA
1501782,2003,38200.0,Breu Branco,PA
1501808,2003,82628.0,Breves,PA
1501907,2003,23162.0,Bujaru,PA
1501956,2003,17655.0,Cachoeira do Piriá,PA
1502004,2003,16565.0,Cachoeira do Arari,PA
1502103,2003,101455.0,Cametá,PA
1502152,2003,12151.0,Canaã dos Carajás,PA
1502202,2003,58953.0,Capanema,PA
1502301,2003,51099.0,Capitão Poço,PA
1502400,2003,144485.0,Castanhal,PA
1502509,2003,17335.0,Chaves,PA
1502608,2003,11339.0,Colares,PA
1502707,2003,43798.0,Conceição do Araguaia,PA
1502756,2003,22715.0,Concórdia do Pará,PA
1502764,2003,6073.0,Cumaru do Norte,PA
1502772,2003,17110.0,Curionópolis,PA
1502806,2003,21498.0,Curralinho,PA
1502855,2003,9524.0,Curuá,PA
1502905,2003,27903.0,Curuçá,PA
1502939,2003,44201.0,Dom Eliseu,PA
1502954,2003,35195.0,Eldorado do Carajás,PA
1503002,2003,12123.0,Faro,PA
1503044,2003,14725.0,Floresta do Araguaia,PA
1503077,2003,25376.0,Garrafão do Norte,PA
1503093,2003,26273.0,Goianésia do Pará,PA
1503101,2003,24370.0,Gurupá,PA
1503200,2003,33969.0,Igarapé-Açu,PA
1503309,2003,55919.0,Igarapé-Miri,PA
1503408,2003,7993.0,Inhangapi,PA
1503457,2003,30020.0,Ipixuna do Pará,PA
1503507,2003,30336.0,Irituia,PA
1503606,2003,95486.0,Itaituba,PA
1503705,2003,56146.0,Itupiranga,PA
1503754,2003,28467.0,Jacareacanga,PA
1503804,2003,43806.0,Jacundá,PA
1503903,2003,33643.0,Juruti,PA
1504000,2003,20516.0,Limoeiro do Ajuru,PA
1504059,2003,24196.0,Mãe do Rio,PA
1504109,2003,7805.0,Magalhães Barata,PA
1504208,2003,181683.0,Marabá,PA
1504307,2003,28186.0,Maracanã,PA
1504406,2003,26145.0,Marapanim,PA
1504422,2003,85652.0,Marituba,PA
1504455,2003,21901.0,Medicilândia,PA
1504505,2003,23074.0,Melgaço,PA
1504604,2003,21172.0,Mocajuba,PA
1504703,2003,56810.0,Moju,PA
1504802,2003,63396.0,Monte Alegre,PA
1504901,2003,26422.0,Muaná,PA
1504950,2003,22665.0,Nova Esperança do Piriá,PA
1504976,2003,12900.0,Nova Ipixuna,PA
1505007,2003,12016.0,Nova Timboteua,PA
1505031,2003,30907.0,Novo Progresso,PA
1505064,2003,45906.0,Novo Repartimento,PA
1505106,2003,47779.0,Óbidos,PA
1505205,2003,24630.0,Oeiras do Pará,PA
1505304,2003,50694.0,Oriximiná,PA
1505403,2003,14900.0,Ourém,PA
1505437,2003,19714.0,Ourilândia do Norte,PA
1505486,2003,29843.0,Pacajá,PA
1505494,2003,8165.0,Palestina do Pará,PA
1505502,2003,81630.0,Paragominas,PA
1505536,2003,81428.0,Parauapebas,PA
1505551,2003,7880.0,Pau D'Arco,PA
1505601,2003,8313.0,Peixe-Boi,PA
1505635,2003,13387.0,Piçarra,PA
1505650,2003,14319.0,Placas,PA
1505700,2003,19370.0,Ponta de Pedras,PA
1505809,2003,40690.0,Portel,PA
1505908,2003,26189.0,Porto de Moz,PA
1506005,2003,29830.0,Prainha,PA
1506104,2003,10258.0,Primavera,PA
1506112,2003,11440.0,Quatipuru,PA
1506138,2003,66933.0,Redenção,PA
1506161,2003,14714.0,Rio Maria,PA
1506187,2003,42554.0,Rondon do Pará,PA
1506195,2003,26259.0,Rurópolis,PA
1506203,2003,36770.0,Salinópolis,PA
1506302,2003,16113.0,Salvaterra,PA
1506351,2003,12184.0,Santa Bárbara do Pará,PA
1506401,2003,5403.0,Santa Cruz do Arari,PA
1506500,2003,46276.0,Santa Izabel do Pará,PA
1506559,2003,19574.0,Santa Luzia do Pará,PA
1506583,2003,12103.0,Santa Maria das Barreiras,PA
1506609,2003,21745.0,Santa Maria do Pará,PA
1506708,2003,35930.0,Santana do Araguaia,PA
1506807,2003,268180.0,Santarém,PA
1506906,2003,5726.0,Santarém Novo,PA
1507003,2003,20669.0,Santo Antônio do Tauá,PA
1507102,2003,15184.0,São Caetano de Odivelas,PA
1507151,2003,21766.0,São Domingos do Araguaia,PA
1507201,2003,29416.0,São Domingos do Capim,PA
1507300,2003,37618.0,São Félix do Xingu,PA
1507409,2003,15054.0,São Francisco do Pará,PA
1507458,2003,27477.0,São Geraldo do Araguaia,PA
1507466,2003,3985.0,São João da Ponta,PA
1507474,2003,17861.0,São João de Pirabas,PA
1507508,2003,14314.0,São João do Araguaia,PA
1507607,2003,43964.0,São Miguel do Guamá,PA
1507706,2003,18507.0,São Sebastião da Boa Vista,PA
1507755,2003,3361.0,Sapucaia,PA
1507805,2003,13455.0,Senador José Porfírio,PA
1507904,2003,20721.0,Soure,PA
1507953,2003,44820.0,Tailândia,PA
1507961,2003,9181.0,Terra Alta,PA
1507979,2003,15760.0,Terra Santa,PA
1508001,2003,49081.0,Tomé-Açu,PA
1508035,2003,24555.0,Tracuateua,PA
1508050,2003,15647.0,Trairão,PA
1508084,2003,23440.0,Tucumã,PA
1508100,2003,79551.0,Tucuruí,PA
1508126,2003,22894.0,Ulianópolis,PA
1508159,2003,51320.0,Uruará,PA
1508209,2003,41026.0,Vigia,PA
1508308,2003,52139.0,Viseu,PA
1508357,2003,10752.0,Vitória do Xingu,PA
1508407,2003,32880.0,Xinguara,PA
1600055,2003,3724.0,Serra do Navio,AP
